code,equation
"def min_value(a, b):
    return min(a, b)","min_value(a, b) = min(a, b)"
"def gcd(a, b):
    return math.gcd(a, b)","gcd(a, b) = gcd(a, b)"
"def lcm(a, b):
    return abs(a * b) // math.gcd(a, b)","lcm(a, b) = lcm(a, b)"
"def heaviside(x):
    return 1 if x >= 0 else 0",heaviside(x) = 1 if x ≥ 0 else 0
"def euler_totient(n):
",euler_totient(n) = φ(n)
"def complex_conjugate(a, b):
    return (a, -b)",complex_conjugate(a + bi) = a - bi
"def dot_product(a1, a2, b1, b2):
    return a1 * b1 + a2 * b2","dot_product((a1, a2), (b1, b2)) = a1b1 + a2b2"
"def cross_product(a1, a2, a3, b1, b2, b3):
    return (a2*b3 - a3*b2, a3*b1 - a1*b3, a1*b2 - a2*b1)","cross_product((a1, a2, a3), (b1, b2, b3)) = (a2b3 - a3b2, a3b1 - a1b3, a1b2 - a2b1)"
"def fibonacci(n):
    a, b = 0, 1
    for _ in range(n):
        a, b = b, a + b
    return a",fibonacci(n) = F_{n}
"def lucas(n):
    a, b = 2, 1
    for _ in range(n):
        a, b = b, a + b
    return a",lucas(n) = L_{n}
"def bessel(n, x):
","bessel(n, x) = J_{n}(x)"
"def legendre(n, x):
","legendre(n, x) = P_{n}(x)"
"def chebyshev(n, x):
","chebyshev(n, x) = T_{n}(x)"
"def beta(x, y):
    return math.gamma(x) * math.gamma(y) / math.gamma(x + y)","beta(x, y) = Γ(x)Γ(y) / Γ(x + y)"
"def gamma(x):
    return math.gamma(x)",gamma(x) = Γ(x)
"def error_function(x):
",error_function(x) = erf(x)
"def sigmoid_prime(x):
    s = sigmoid(x)
    return s * (1 - s)",sigmoid_prime(x) = sigmoid(x)(1 - sigmoid(x))
"def softplus(x):
    return math.log(1 + math.exp(x))",softplus(x) = ln(1 + e^x)
"def leaky_relu(x):
    return x if x > 0 else alpha * x",leaky_relu(x) = x if x > 0 else alphax
"def inverse_function(y):
",inverse_function(y) = f⁻¹(y)
"def hypergeometric(a, b, c, z):
","hypergeometric(a, b, c, z) = ₂F₁(a, b; c; z)"
"def parabola(x):
    return a * (x - h) ** 2 + k",parabola(x) = a(x - h)² + k
"def circle_equation(x, y):
    return (x - h) ** 2 + (y - k) ** 2 - r ** 2","circle_equation(x, y) = (x - h)² + (y - k)² = r²"
"def ellipse_equation(x, y):
    return ((x - h) ** 2) / a ** 2 + ((y - k) ** 2) / b ** 2 - 1","ellipse_equation(x, y) = ((x - h)² / a²) + ((y - k)² / b²) = 1"
"def hyperbola_equation(x, y):
    return ((x - h) ** 2) / a ** 2 - ((y - k) ** 2) / b ** 2 - 1","hyperbola_equation(x, y) = ((x - h)² / a²) - ((y - k)² / b²) = 1"
"def logistic_map(x):
    return r * x * (1 - x)",logistic_map(x) = rx(1 - x)
"def weierstrass(x):
",weierstrass(x) = W(x)
"def dirac_delta(x):
",dirac_delta(x) = δ(x)
"def heaviside(x):
    return 0 if x < 0 else 1",heaviside(x) = 0 if x < 0 else 1
"def sinc(x):
    return 1 if x == 0 else math.sin(x) / x",sinc(x) = sin(x) / x
"def ramp(x):
    return x if x > 0 else 0",ramp(x) = x if x > 0 else 0
"def unit_step(x):
    return 1 if x >= 0 else 0",unit_step(x) = 1 if x ≥ 0 else 0
"def rectangular(x):
    return 1 if abs(x) <= width / 2 else 0",rectangular(x) = 1 if |x| ≤ width/2 else 0
"def triangular(x):
    return max(0, (width / 2 - abs(x)) / (width / 2))","triangular(x) = max(0, 1 - 2|x| / width)"
"def sawtooth_wave(x):
    return 2 * (x / period - math.floor(x / period + 0.5))",sawtooth_wave(x) = 2(x/period - floor(x/period + 0.5))
"def square_wave(x):
    return 1 if (x % period) < period / 2 else -1",square_wave(x) = 1 if x mod period < period/2 else -1
"def kronecker_delta(i, j):
    return 1 if i == j else 0","kronecker_delta(i, j) = δ₍ij₎"
"def permutation(n, k):
    return math.perm(n, k)","permutation(n, k) = P(n, k)"
"def rising_factorial(x, n):
    result = 1
    for i in range(n):
        result *= x + i
    return result","rising_factorial(x, n) = (x)^{(n)}"
"def falling_factorial(x, n):
    result = 1
    for i in range(n):
        result *= x - i
    return result","falling_factorial(x, n) = (x)_{(n)}"
